invoice_date,invoice_reference,invoice_category,invoice_payment_method,invoice_amount,username
01/01/2023,INV/2023/03732,cars,MASTERCARD,179553.36,sofia
01/01/2023,INV/2023/04132,alimentacao,PT50123456789,163.08,miguel
01/01/2023,INV/2023/02926,tecnologia,PT50987654321,1560.79,goncalo
01/01/2023,INV/2023/00589,viagens,MASTERCARD,5110.1,miguel
01/01/2023,INV/2023/01028,tecnologia,PAYPAL,3122.75,rita
01/01/2024,INV/2024/00786,cars,PT50987654321,491243.51,miguel
01/01/2024,INV/2024/04890,alimentacao,MASTERCARD,189.5,miguel
01/01/2024,INV/2024/02085,tecnologia,PT50444555666,1389.74,pedro
01/01/2024,INV/2024/00381,tecnologia,PT50123456789,1568.26,sofia
01/01/2025,INV/2025/00168,tecnologia,PT50123456789,894.01,sofia
01/01/2026,INV/2026/03110,saude,PT50123456789,351.51,maria
01/01/2026,INV/2026/03299,educacao,4553363636,551.61,joao
01/01/2026,INV/2026/03450,cars,MASTERCARD,323547.94,sofia
01/02/2023,INV/2023/01444,tecnologia,MBWAY,642.83,pedro
01/02/2023,INV/2023/01868,tecnologia,MBWAY,1658.8,ana
01/02/2023,INV/2023/00382,saude,PT50987654321,637.02,pedro
01/02/2023,INV/2023/02446,casa,PT50444555666,9632.23,joao
01/02/2023,INV/2023/00472,alimentacao,MASTERCARD,24.73,pedro
01/02/2024,INV/2024/00181,viagens,PT50987654321,1375.71,pedro
01/02/2024,INV/2024/04843,lazer,PT50123456789,110.75,rita
01/02/2024,INV/2024/04855,educacao,MBWAY,1491.73,ana
01/02/2024,INV/2024/00933,alimentacao,PT50444555666,89.86,miguel
01/02/2024,INV/2024/03393,cars,PT50444555666,293821.59,goncalo
01/02/2025,INV/2025/00093,saude,PT50987654321,1056.96,maria
01/02/2025,INV/2025/01252,lazer,PAYPAL,913.46,rita
01/02/2025,INV/2025/02617,lazer,MBWAY,225.8,rita
01/02/2025,INV/2025/04054,cars,PAYPAL,203629.36,miguel
01/02/2025,INV/2025/00108,lazer,PT50987654321,814.16,maria
01/02/2025,INV/2025/01050,lazer,VISA,780.71,pedro
01/02/2025,INV/2025/02568,lazer,PAYPAL,965.34,pedro
01/02/2026,INV/2026/00187,alimentacao,PT50123456789,291.49,miguel
01/03/2023,INV/2023/03200,casa,PAYPAL,4048.02,joao
01/03/2023,INV/2023/04186,cars,MBWAY,200585.19,sofia
01/03/2023,INV/2023/01525,cars,PT50123456789,373684.26,maria
01/03/2024,INV/2024/00665,educacao,4553363636,2456.71,maria
01/03/2025,INV/2025/04170,lazer,PT50444555666,983.37,ana
01/03/2025,INV/2025/03109,tecnologia,VISA,101509.51,pedro
01/03/2025,INV/2025/04166,lazer,VISA,964.66,rita
01/03/2025,INV/2025/04741,educacao,PT50123456789,2414.03,sofia
01/03/2026,INV/2026/03093,saude,4553363636,592.2,ana
01/03/2026,INV/2026/01461,saude,VISA,525.81,joao
01/03/2026,INV/2026/04926,educacao,PAYPAL,2180.72,rita
01/04/2023,INV/2023/03657,educacao,4553363636,1495.6,ana
01/04/2023,INV/2023/02097,saude,4553363636,1355.7,goncalo
01/04/2023,INV/2023/02745,saude,PT50123456789,1244.76,ana
01/04/2023,INV/2023/00262,alimentacao,4553363636,47.52,sofia
01/04/2024,INV/2024/01296,educacao,PAYPAL,1078.22,sofia
01/04/2025,INV/2025/00290,lazer,PT50444555666,158.05,maria
01/04/2025,INV/2025/00963,educacao,PT50123456789,321.54,sofia
01/04/2025,INV/2025/00813,alimentacao,PAYPAL,30.51,sofia
01/04/2025,INV/2025/03932,alimentacao,4553363636,217.94,goncalo
01/04/2026,INV/2026/04887,educacao,MBWAY,944.29,joao
01/04/2026,INV/2026/03993,viagens,MBWAY,5775.42,goncalo
01/05/2023,INV/2023/02959,saude,PT50444555666,1415.81,maria
01/05/2024,INV/2024/03144,educacao,PT50444555666,1684.88,ana
01/05/2024,INV/2024/02487,saude,MBWAY,1272.09,maria
01/05/2024,INV/2024/04531,tecnologia,MBWAY,1687.07,pedro
01/05/2024,INV/2024/02787,cars,4553363636,464988.27,ana
01/05/2025,INV/2025/03133,saude,MASTERCARD,488.52,goncalo
01/05/2025,INV/2025/00303,casa,PT50123456789,189.11,miguel
01/05/2025,INV/2025/03018,cars,PT50123456789,8120330.85,maria
01/05/2025,INV/2025/04850,cars,4553363636,26786.05,sofia
01/05/2026,INV/2026/01538,viagens,PAYPAL,5535.07,joao
01/05/2026,INV/2026/01293,saude,MASTERCARD,1327.16,goncalo
01/06/2023,INV/2023/04165,lazer,VISA,921.41,joao
01/06/2023,INV/2023/03246,educacao,MBWAY,907.79,sofia
01/06/2023,INV/2023/02161,casa,MASTERCARD,5209.17,sofia
01/06/2024,INV/2024/02644,educacao,PAYPAL,1086.73,goncalo
01/06/2024,INV/2024/04809,educacao,PT50444555666,531.0,rita
01/06/2024,INV/2024/02427,alimentacao,PT50123456789,292.42,maria
01/06/2024,INV/2024/03766,saude,PT50444555666,806.84,rita
01/06/2024,INV/2024/03437,alimentacao,MASTERCARD,148.45,rita
01/06/2025,INV/2025/03807,educacao,MASTERCARD,782.79,ana
01/06/2025,INV/2025/00100,alimentacao,PAYPAL,140.84,sofia
01/06/2025,INV/2025/03515,saude,PT50444555666,689.05,rita
01/06/2025,INV/2025/02794,tecnologia,PT50444555666,1528.95,miguel
01/06/2026,INV/2026/00051,lazer,PT50987654321,537.41,goncalo
01/06/2026,INV/2026/02480,alimentacao,4553363636,55.38,goncalo
01/07/2023,INV/2023/03378,alimentacao,MBWAY,59.54,maria
01/07/2023,INV/2023/04123,saude,PAYPAL,267.91,joao
01/07/2023,INV/2023/01935,lazer,PT50987654321,934.89,ana
01/07/2024,INV/2024/02943,tecnologia,PT50123456789,5157.09,miguel
01/07/2024,INV/2024/02140,casa,PT50444555666,1507.77,joao
01/07/2024,INV/2024/03403,alimentacao,PT50123456789,111.24,ana
01/07/2025,INV/2025/00286,tecnologia,PT50987654321,955.95,rita
01/07/2025,INV/2025/02498,casa,MBWAY,6648.77,sofia
01/07/2025,INV/2025/04163,tecnologia,MASTERCARD,1681.79,miguel
01/07/2026,INV/2026/04478,educacao,PT50987654321,453.85,miguel
01/07/2026,INV/2026/00336,lazer,4553363636,595.85,miguel
01/07/2026,INV/2026/02786,educacao,PAYPAL,984.84,maria
01/07/2026,INV/2026/04978,viagens,MASTERCARD,2934.85,rita
01/08/2023,INV/2023/00872,viagens,PAYPAL,7787.4,maria
01/08/2023,INV/2023/04047,alimentacao,MASTERCARD,260.32,sofia
01/08/2023,INV/2023/02300,saude,4553363636,1675.69,joao
01/08/2023,INV/2023/04362,casa,PAYPAL,1224.08,miguel
01/08/2023,INV/2023/04869,alimentacao,PT50987654321,161.94,sofia
01/08/2023,INV/2023/00662,saude,PT50987654321,294.45,miguel
01/08/2023,INV/2023/04844,saude,PT50987654321,415.29,goncalo
01/08/2023,INV/2023/01297,casa,PAYPAL,9252.27,joao
01/08/2024,INV/2024/01646,lazer,4553363636,540.64,sofia
01/08/2024,INV/2024/04461,tecnologia,VISA,379.33,pedro
01/08/2024,INV/2024/02830,lazer,PT50123456789,159.64,goncalo
01/08/2025,INV/2025/01946,saude,4553363636,203.67,ana
01/08/2025,INV/2025/03891,educacao,MASTERCARD,1768.66,rita
01/08/2026,INV/2026/01289,tecnologia,PT50444555666,2244.12,ana
01/08/2026,INV/2026/03550,educacao,VISA,2496.4,miguel
01/09/2023,INV/2023/04480,saude,4553363636,945.87,pedro
01/09/2023,INV/2023/04471,viagens,MBWAY,670.13,joao
01/09/2023,INV/2023/00611,cars,PT50123456789,121154.64,pedro
01/09/2024,INV/2024/01952,viagens,PT50444555666,7800.78,rita
01/09/2024,INV/2024/00617,educacao,MASTERCARD,581.78,joao
01/09/2024,INV/2024/02656,casa,4553363636,9872.28,maria
01/09/2024,INV/2024/00873,lazer,PT50123456789,262.33,pedro
01/09/2024,INV/2024/04788,lazer,MBWAY,765.44,ana
01/09/2025,INV/2025/01958,casa,PT50987654321,2738.7,maria
01/09/2025,INV/2025/04490,alimentacao,4553363636,148.01,sofia
01/09/2025,INV/2025/03452,casa,MBWAY,985.84,miguel
01/09/2026,INV/2026/02118,casa,PT50444555666,7944.85,ana
01/09/2026,INV/2026/03291,educacao,PT50987654321,1574.9,pedro
01/09/2026,INV/2026/04961,alimentacao,MBWAY,270.83,miguel
01/09/2026,INV/2026/02458,cars,4553363636,258613.61,rita
01/09/2026,INV/2026/00686,cars,4553363636,3220870.57,goncalo
01/10/2023,INV/2023/03284,cars,4553363636,198867.4,maria
01/10/2024,INV/2024/00683,casa,PT50123456789,7117.5,sofia
01/10/2024,INV/2024/03626,lazer,PT50444555666,982.87,joao
01/10/2024,INV/2024/01762,viagens,PT50123456789,4230.72,rita
01/10/2025,INV/2025/04885,alimentacao,MBWAY,255.63,ana
01/10/2026,INV/2026/03474,lazer,MASTERCARD,513.11,ana
01/10/2026,INV/2026/04405,lazer,MBWAY,101.35,ana
01/10/2026,INV/2026/01246,tecnologia,MASTERCARD,3239.23,ana
01/10/2026,INV/2026/04451,lazer,VISA,787.5,goncalo
01/10/2026,INV/2026/03508,alimentacao,MASTERCARD,197.42,sofia
01/11/2023,INV/2023/03349,alimentacao,PT50987654321,96.69,maria
01/11/2023,INV/2023/00569,casa,VISA,9565.17,goncalo
01/11/2023,INV/2023/01611,lazer,PT50123456789,138.56,joao
01/11/2023,INV/2023/02259,tecnologia,PT50123456789,564.43,rita
01/11/2024,INV/2024/00545,tecnologia,4553363636,1858.97,sofia
01/11/2024,INV/2024/04495,cars,PT50987654321,405367.41,sofia
01/11/2024,INV/2024/03851,viagens,PT50444555666,334.66,maria
01/11/2025,INV/2025/04197,alimentacao,PAYPAL,253.04,miguel
01/11/2025,INV/2025/03100,casa,PT50987654321,3990.94,ana
01/11/2025,INV/2025/01435,educacao,PT50987654321,622.79,maria
01/11/2025,INV/2025/02429,alimentacao,PT50987654321,119.49,rita
01/11/2025,INV/2025/04673,saude,4553363636,1665.7,rita
01/11/2025,INV/2025/04353,cars,PT50123456789,418090.21,pedro
01/11/2025,INV/2025/03183,cars,MASTERCARD,318447.33,maria
01/11/2026,INV/2026/01866,educacao,PT50444555666,1067.38,sofia
01/11/2026,INV/2026/03356,viagens,PT50444555666,4852.17,ana
01/11/2026,INV/2026/03309,saude,4553363636,354.39,joao
01/12/2023,INV/2023/00395,cars,MBWAY,447286.31,rita
01/12/2023,INV/2023/03335,cars,PT50987654321,340278.95,goncalo
01/12/2023,INV/2023/04773,casa,PAYPAL,2638.07,rita
01/12/2024,INV/2024/03602,alimentacao,MASTERCARD,162.7,goncalo
01/12/2024,INV/2024/01926,educacao,MASTERCARD,954.85,joao
01/12/2025,INV/2025/04193,educacao,PAYPAL,999.78,sofia
01/12/2026,INV/2026/00001,educacao,4553363636,997.88,rita
02/01/2024,INV/2024/02706,lazer,PT50123456789,898.72,ana
02/01/2024,INV/2024/02778,educacao,PT50987654321,2071.36,joao
02/01/2024,INV/2024/03905,lazer,PT50123456789,507.04,goncalo
02/01/2024,INV/2024/02272,cars,4553363636,377161.76,rita
02/01/2025,INV/2025/01192,saude,4553363636,457.01,miguel
02/01/2025,INV/2025/04559,casa,PT50444555666,4356.4,joao
02/01/2026,INV/2026/03566,saude,VISA,1898.73,miguel
02/01/2026,INV/2026/03305,lazer,PT50123456789,557.98,pedro
02/01/2026,INV/2026/03265,educacao,PT50444555666,754.81,goncalo
02/01/2026,INV/2026/01908,alimentacao,PT50987654321,182.22,sofia
02/02/2023,INV/2023/00324,alimentacao,PT50987654321,229.71,ana
02/02/2023,INV/2023/00296,cars,4553363636,369103.61,goncalo
02/02/2024,INV/2024/00636,saude,PT50444555666,1443.24,rita
02/02/2024,INV/2024/02246,educacao,PAYPAL,1076.37,goncalo
02/02/2024,INV/2024/03615,alimentacao,MASTERCARD,115.87,ana
02/02/2024,INV/2024/04309,educacao,PT50987654321,326.95,joao
02/02/2024,INV/2024/04452,educacao,PT50444555666,548.01,rita
02/02/2025,INV/2025/00968,alimentacao,PAYPAL,120.05,sofia
02/02/2025,INV/2025/00151,alimentacao,PAYPAL,219.81,miguel
02/02/2025,INV/2025/00580,viagens,PT50444555666,7344.68,ana
02/02/2026,INV/2026/04391,viagens,PAYPAL,3767.16,ana
02/03/2023,INV/2023/03594,casa,PT50123456789,8550.51,rita
02/03/2023,INV/2023/02405,alimentacao,PT50444555666,109.89,joao
02/03/2023,INV/2023/03238,casa,VISA,8207.44,rita
02/03/2023,INV/2023/03806,tecnologia,PT50123456789,121240.25,goncalo
02/03/2023,INV/2023/02903,educacao,PAYPAL,659.32,rita
02/03/2024,INV/2024/02823,casa,PT50987654321,8129.09,goncalo
02/03/2024,INV/2024/04060,casa,PAYPAL,9679.0,miguel
02/03/2024,INV/2024/02564,viagens,4553363636,4119.49,maria
02/03/2024,INV/2024/00907,saude,VISA,445.23,rita
02/03/2024,INV/2024/01351,cars,VISA,339906.97,joao
02/03/2024,INV/2024/04934,lazer,MBWAY,721.61,rita
02/03/2024,INV/2024/04830,tecnologia,4553363636,3997.25,goncalo
02/03/2025,INV/2025/02992,viagens,PT50123456789,4517.26,sofia
02/03/2025,INV/2025/01852,alimentacao,PT50444555666,69.24,ana
02/03/2025,INV/2025/03539,viagens,PAYPAL,3561.72,joao
02/03/2025,INV/2025/03787,tecnologia,4553363636,5089.0,sofia
02/03/2025,INV/2025/02117,viagens,PT50444555666,2150.84,pedro
02/03/2026,INV/2026/02855,saude,4553363636,1564.97,sofia
02/03/2026,INV/2026/01161,saude,PT50444555666,776.55,maria
02/03/2026,INV/2026/02626,cars,PT50123456789,381664.6,maria
02/03/2026,INV/2026/02861,alimentacao,4553363636,92.9,rita
02/03/2026,INV/2026/00988,educacao,MASTERCARD,1850.87,ana
02/03/2026,INV/2026/02053,educacao,PAYPAL,1729.84,joao
02/03/2026,INV/2026/04410,educacao,MASTERCARD,661.52,goncalo
02/04/2023,INV/2023/01598,alimentacao,PT50444555666,159.62,goncalo
02/04/2023,INV/2023/02114,viagens,4553363636,1452.25,maria
02/04/2023,INV/2023/01769,saude,MASTERCARD,1321.17,ana
02/04/2023,INV/2023/03458,casa,PT50123456789,6500.92,rita
02/04/2023,INV/2023/00531,alimentacao,MBWAY,43.13,ana
02/04/2023,INV/2023/01457,viagens,4553363636,2948.05,joao
02/04/2024,INV/2024/00978,alimentacao,MASTERCARD,49.23,ana
02/04/2025,INV/2025/03979,cars,VISA,327583.32,sofia
02/04/2025,INV/2025/01956,cars,PT50987654321,196179.19,ana
02/04/2025,INV/2025/01046,casa,MASTERCARD,3884.18,ana
02/04/2025,INV/2025/04572,casa,PT50444555666,7157.77,rita
02/04/2025,INV/2025/01287,viagens,MASTERCARD,2365.19,maria
02/04/2025,INV/2025/04078,lazer,PAYPAL,131.89,ana
02/04/2026,INV/2026/01077,casa,PT50987654321,912.02,sofia
02/04/2026,INV/2026/02878,tecnologia,MBWAY,3238.03,maria
02/05/2023,INV/2023/01983,tecnologia,PT50123456789,2536.64,pedro
02/05/2023,INV/2023/02344,alimentacao,PAYPAL,46.37,maria
02/05/2023,INV/2023/03709,tecnologia,PT50987654321,2721.32,goncalo
02/05/2024,INV/2024/04715,educacao,PAYPAL,2479.52,miguel
02/05/2024,INV/2024/04065,lazer,4553363636,822.36,pedro
02/05/2024,INV/2024/01039,alimentacao,PT50123456789,251.04,sofia
02/05/2024,INV/2024/00200,tecnologia,VISA,5034.49,sofia
02/05/2024,INV/2024/04262,cars,4553363636,63859.25,goncalo
02/05/2025,INV/2025/02054,alimentacao,PAYPAL,86.86,miguel
02/05/2026,INV/2026/03667,cars,PAYPAL,27892.2,maria
02/05/2026,INV/2026/04200,cars,MASTERCARD,325763.97,rita
02/05/2026,INV/2026/01421,casa,VISA,2560.29,sofia
02/05/2026,INV/2026/02961,educacao,PAYPAL,340.43,goncalo
02/06/2023,INV/2023/00629,saude,VISA,624.03,sofia
02/06/2023,INV/2023/00055,alimentacao,MASTERCARD,243.02,pedro
02/06/2024,INV/2024/02860,educacao,PAYPAL,143.27,maria
02/06/2024,INV/2024/01079,cars,MBWAY,132570.76,pedro
02/06/2024,INV/2024/04190,tecnologia,VISA,2700.1,joao
02/06/2025,INV/2025/01011,cars,4553363636,461373.9,pedro
02/06/2026,INV/2026/03272,viagens,4553363636,5293.19,joao
02/06/2026,INV/2026/04521,educacao,PAYPAL,116.47,ana
02/06/2026,INV/2026/00505,educacao,4553363636,1368.48,rita
02/06/2026,INV/2026/04779,educacao,4553363636,1654.49,rita
02/07/2023,INV/2023/02610,casa,PT50987654321,3712.64,miguel
02/07/2023,INV/2023/03606,alimentacao,MBWAY,120.43,miguel
02/07/2023,INV/2023/03114,educacao,4553363636,905.36,pedro
02/07/2023,INV/2023/03042,lazer,MBWAY,929.47,joao
02/07/2024,INV/2024/01365,cars,PT50987654321,317383.99,pedro
02/07/2024,INV/2024/03080,casa,PT50444555666,6836.56,goncalo
02/07/2024,INV/2024/02086,cars,PT50444555666,328349.42,rita
02/07/2024,INV/2024/03768,lazer,4553363636,420.55,joao
02/07/2024,INV/2024/03669,casa,PAYPAL,5023.15,sofia
02/07/2025,INV/2025/04651,alimentacao,PT50444555666,137.87,maria
